Механика и математическое моделирование,01.03.03
Прикладная математика,01.03.04
Фундаментальные математика и механика,01.05.01
Математика и компьютерные науки,02.03.01
Фундаментальная информатика и информационные технологии,02.03.02
Математическое обеспечение и администрирование информационных систем,02.03.03
Прикладные математика и физика,03.03.01
Фундаментальная и прикладная физика,03.05.02
Картография и геоинформатика,05.03.03
Биоинженерия и биоинформатика,06.05.01
Информатика и вычислительная техника,09.03.01
Информационные системы и технологии,09.03.02
Прикладная информатика,09.03.03
Программная инженерия,09.03.04
Информационная безопасность,10.03.01
Компьютерная безопасность,10.05.01
Информационная безопасность телекоммуникационных систем,10.05.02
Информационная безопасность автоматизированных систем,10.05.03
Информационно-аналитические системы безопасности,10.05.04
Безопасность информационных технологий в правоохранительной сфере,10.05.05
Радиотехника,11.03.01
Инфокоммуникационные технологии и системы связи,11.03.02
Конструирование и технология электронных средств,11.03.03
Электроника и наноэлектроника,11.03.04
Радиоэлектронные системы и комплексы,11.05.01
Специальные радиотехнические системы,11.05.02
Фотоника и оптоинформатика,12.03.03
Электронные и оптико-электронные приборы и системы специального назначения,12.05.01
Электроэнергетика и электротехника,03.13.02
Энергетическое машиностроение,03.13.03
Машиностроение,03.15.01
Технологические машины и оборудование,03.15.02
Прикладная механика,03.15.03
Автоматизация технологических процессов и производств,03.15.04
Конструкторско-технологическое обеспечение машиностроительного производства,03.15.05
Мехатроника и робототехника,03.15.06
Проектирование технологических машин и комплексов,05.15.01
Проектирование производство и испытание корабельного вооружения и информационно- управляющих систем,05.17.03
Ракетные комплексы и космонавтика,03.24.01
Системы управления движением и навигация,03.24.02
Баллистика и гидроаэродинамика,03.24.03
Авиастроение,03.24.04
Двигатели летательных аппаратов,03.24.05
Проектирование производство и эксплуатация ракет и ракетно-космических комплексов,05.24.01
Проектирование авиационных и ракетных двигателей,05.24.02
Испытание летательных аппаратов,05.24.03
Навигационно-баллистическое обеспечение применения космической техники,05.24.04
Интегрированные системы летательных аппаратов,05.24.05
